year,name_of_league,name_of_review,statistic,name,team,value
1901,American League,Player Review,Base on Balls,Dummy Hoy,Chicago,86
1901,American League,Player Review,Batting Average,Nap Lajoie,Philadelphia,.426
1901,American League,Player Review,Doubles,Nap Lajoie,Philadelphia,48
1901,American League,Player Review,Hits,Nap Lajoie,Philadelphia,232
1901,American League,Player Review,Home Runs,Nap Lajoie,Philadelphia,14
1901,American League,Player Review,On Base Percentage,Nap Lajoie,Philadelphia,.463
1901,American League,Player Review,RBI,Nap Lajoie,Philadelphia,125
1901,American League,Player Review,Runs,Nap Lajoie,Philadelphia,145
1901,American League,Player Review,Slugging Average,Nap Lajoie,Philadelphia,.643
1901,American League,Player Review,Stolen Bases,Frank Isbell,Chicago,52
1901,American League,Player Review,Total Bases,Nap Lajoie,Philadelphia,350
1901,American League,Player Review,Triples,Bill Keister,Baltimore,21
1901,American League,Pitcher Review,Complete Games,Joe McGinnity,Baltimore,39
1901,American League,Pitcher Review,ERA,Cy Young,Boston,1.62
1901,American League,Pitcher Review,Games,Joe McGinnity,Baltimore,48
1901,American League,Pitcher Review,Saves,Bill Hoffer,Cleveland,3
1901,American League,Pitcher Review,Shutouts,Clark Griffith,Chicago,5
1901,American League,Pitcher Review,Strikeouts,Cy Young,Boston,158
1901,American League,Pitcher Review,Winning Percentage,Clark Griffith,Chicago,.774
1901,American League,Pitcher Review,Wins,Cy Young,Boston,33
1902,American League,Player Review,Base on Balls,Topsy Hartsel,Philadelphia,87
1902,American League,Player Review,Batting Average,Ed Delahanty,Washington,.376
1902,American League,Player Review,Doubles,Harry Davis,Philadelphia,43
1902,American League,Player Review,Hits,Charlie Hickman,Boston,193
1902,American League,Player Review,Home Runs,Socks Seybold,Philadelphia,16
1902,American League,Player Review,On Base Percentage,Ed Delahanty,Washington,.453
1902,American League,Player Review,RBI,Buck Freeman,Boston,121
1902,American League,Player Review,Runs,Dave Fultz,Philadelphia,109
1902,American League,Player Review,Slugging Average,Ed Delahanty,Washington,.590
1902,American League,Player Review,Stolen Bases,Topsy Hartsel,Philadelphia,47
1902,American League,Player Review,Total Bases,Charlie Hickman,Boston,288
1902,American League,Player Review,Triples,Jimmy Williams,Baltimore,21
1902,American League,Pitcher Review,Complete Games,Cy Young,Boston,41
1902,American League,Pitcher Review,ERA,Ed Siever,Detroit,1.91
1902,American League,Pitcher Review,Games,Cy Young,Boston,45
1902,American League,Pitcher Review,Saves,Jack Powell,St. Louis,2
1902,American League,Pitcher Review,Shutouts,Addie Joss,Cleveland,5
1902,American League,Pitcher Review,Strikeouts,Rube Waddell,Philadelphia,210
1902,American League,Pitcher Review,Winning Percentage,Bill Bernhard,Philadelphia,.783
1902,American League,Pitcher Review,Wins,Cy Young,Boston,32
1903,American League,Player Review,Base on Balls,Jimmy Barrett,Detroit,74
1903,American League,Player Review,Batting Average,Nap Lajoie,Cleveland,.344
1903,American League,Player Review,Doubles,Socks Seybold,Philadelphia,45
1903,American League,Player Review,Hits,Patsy Dougherty,Boston,195
1903,American League,Player Review,Home Runs,Buck Freeman,Boston,13
1903,American League,Player Review,On Base Percentage,Jimmy Barrett,Detroit,.407
1903,American League,Player Review,RBI,Buck Freeman,Boston,104
1903,American League,Player Review,Runs,Patsy Dougherty,Boston,107
1903,American League,Player Review,Slugging Average,Nap Lajoie,Cleveland,.518
1903,American League,Player Review,Stolen Bases,Harry Bay,Cleveland,45
1903,American League,Player Review,Total Bases,Buck Freeman,Boston,281
1903,American League,Player Review,Triples,Sam Crawford,Detroit,25
1903,American League,Pitcher Review,Complete Games,Bill Donovan,Detroit,34
1903,American League,Pitcher Review,ERA,Earl Moore,Cleveland,1.74
1903,American League,Pitcher Review,Games,Eddie Plank,Philadelphia,43
1903,American League,Pitcher Review,Saves,Bill Dinneen,Boston,2
1903,American League,Pitcher Review,Shutouts,Cy Young,Boston,7
1903,American League,Pitcher Review,Strikeouts,Rube Waddell,Philadelphia,302
1903,American League,Pitcher Review,Winning Percentage,Cy Young,Boston,.757
1903,American League,Pitcher Review,Wins,Cy Young,Boston,28
1904,American League,Player Review,Base on Balls,Jimmy Barrett,Detroit,79
1904,American League,Player Review,Batting Average,Nap Lajoie,Cleveland,.376
1904,American League,Player Review,Doubles,Nap Lajoie,Cleveland,49
1904,American League,Player Review,Hits,Nap Lajoie,Cleveland,211
1904,American League,Player Review,Home Runs,Harry Davis,Philadelphia,10
1904,American League,Player Review,On Base Percentage,Nap Lajoie,Cleveland,.413
1904,American League,Player Review,RBI,Nap Lajoie,Cleveland,102
1904,American League,Player Review,Runs,Patsy Dougherty,Boston,113
1904,American League,Player Review,Slugging Average,Nap Lajoie,Cleveland,.552
1904,American League,Player Review,Stolen Bases,Harry Bay,Cleveland,38
1904,American League,Player Review,Total Bases,Nap Lajoie,Cleveland,305
1904,American League,Player Review,Triples,Joe Cassidy,Washington,19
1904,American League,Pitcher Review,Complete Games,Jack Chesbro,New York,48
1904,American League,Pitcher Review,ERA,Addie Joss,Cleveland,1.59
1904,American League,Pitcher Review,Games,Jack Chesbro,New York,55
1904,American League,Pitcher Review,Saves,Case Patten,Washington,3
1904,American League,Pitcher Review,Shutouts,Cy Young,Boston,10
1904,American League,Pitcher Review,Strikeouts,Rube Waddell,Philadelphia,349
1904,American League,Pitcher Review,Winning Percentage,Jack Chesbro,New York,.774
1904,American League,Pitcher Review,Wins,Jack Chesbro,New York,41
1905,American League,Player Review,Base on Balls,Topsy Hartsel,Philadelphia,121
1905,American League,Player Review,Batting Average,Elmer Flick,Cleveland,.308
1905,American League,Player Review,Doubles,Harry Davis,Philadelphia,47
1905,American League,Player Review,Hits,George Stone,St. Louis,187
1905,American League,Player Review,Home Runs,Harry Davis,Philadelphia,8
1905,American League,Player Review,On Base Percentage,Topsy Hartsel,Philadelphia,.409
1905,American League,Player Review,RBI,Harry Davis,Philadelphia,83
1905,American League,Player Review,Runs,Harry Davis,Philadelphia,93
1905,American League,Player Review,Slugging Average,Elmer Flick,Cleveland,.462
1905,American League,Player Review,Stolen Bases,Danny Hoffman,Philadelphia,46
1905,American League,Player Review,Total Bases,George Stone,St. Louis,259
1905,American League,Player Review,Triples,Elmer Flick,Cleveland,18
1905,American League,Pitcher Review,Complete Games,Harry Howell,St. Louis,35
1905,American League,Pitcher Review,ERA,Rube Waddell,Philadelphia,1.48
1905,American League,Pitcher Review,Games,Rube Waddell,Philadelphia,46
1905,American League,Pitcher Review,Saves,Jim Buchanan,St. Louis,2
1905,American League,Pitcher Review,Shutouts,Ed Killian,Detroit,8
1905,American League,Pitcher Review,Strikeouts,Rube Waddell,Philadelphia,287
1905,American League,Pitcher Review,Winning Percentage,Rube Waddell,Philadelphia,.730
1905,American League,Pitcher Review,Wins,Rube Waddell,Philadelphia,27
1906,American League,Player Review,Base on Balls,Topsy Hartsel,Philadelphia,88
1906,American League,Player Review,Batting Average,George Stone,St. Louis,.358
1906,American League,Player Review,Doubles,Nap Lajoie,Cleveland,48
