year,league
1901,American League
1902,American League
1903,American League
1904,American League
1905,American League
1906,American League
1907,American League
1908,American League
1909,American League
1910,American League
1911,American League
1912,American League
1913,American League
1914,American League
1915,American League
1916,American League
1917,American League
1918,American League
1919,American League
1920,American League
1921,American League
1922,American League
1923,American League
1924,American League
1925,American League
1926,American League
1927,American League
1928,American League
1929,American League
1930,American League
1931,American League
1932,American League
1933,American League
1934,American League
1935,American League
1936,American League
1937,American League
1938,American League
1939,American League
1940,American League
1941,American League
1942,American League
1943,American League
1944,American League
1945,American League
1946,American League
1947,American League
1948,American League
1949,American League
1950,American League
1951,American League
1952,American League
1953,American League
1954,American League
1955,American League
1956,American League
1957,American League
1958,American League
1959,American League
1960,American League
1961,American League
1962,American League
1963,American League
1964,American League
1965,American League
1966,American League
1967,American League
1968,American League
1969,American League
1970,American League
1971,American League
1972,American League
1973,American League
1974,American League
1975,American League
1976,American League
1977,American League
1978,American League
1979,American League
1980,American League
1981,American League
1982,American League
1983,American League
1984,American League
1985,American League
1986,American League
1987,American League
1988,American League
1989,American League
1990,American League
1991,American League
1992,American League
1993,American League
1994,American League
1995,American League
1996,American League
1997,American League
1998,American League
1999,American League
2000,American League
2001,American League
2002,American League
2003,American League
2004,American League
2005,American League
2006,American League
2007,American League
2008,American League
2009,American League
2010,American League
2011,American League
2012,American League
2013,American League
2014,American League
2015,American League
2016,American League
2017,American League
2018,American League
2019,American League
2020,American League
2021,American League
2022,American League
2023,American League
2024,American League
2025,American League
2026,American League
