year,league
1876,National League
1877,National League
1878,National League
1879,National League
1880,National League
1881,National League
1882,National League
1883,National League
1884,National League
1885,National League
1886,National League
1887,National League
1888,National League
1889,National League
1890,National League
1891,National League
1892,National League
1893,National League
1894,National League
1895,National League
1896,National League
1897,National League
1898,National League
1899,National League
1900,National League
1901,National League
1902,National League
1903,National League
1904,National League
1905,National League
1906,National League
1907,National League
1908,National League
1909,National League
1910,National League
1911,National League
1912,National League
1913,National League
1914,National League
1915,National League
1916,National League
1917,National League
1918,National League
1919,National League
1920,National League
1921,National League
1922,National League
1923,National League
1924,National League
1925,National League
1926,National League
1927,National League
1928,National League
1929,National League
1930,National League
1931,National League
1932,National League
1933,National League
1934,National League
1935,National League
1936,National League
1937,National League
1938,National League
1939,National League
1940,National League
1941,National League
1942,National League
1943,National League
1944,National League
1945,National League
1946,National League
1947,National League
1948,National League
1949,National League
1950,National League
1951,National League
1952,National League
1953,National League
1954,National League
1955,National League
1956,National League
1957,National League
1958,National League
1959,National League
1960,National League
1961,National League
1962,National League
1963,National League
1964,National League
1965,National League
1966,National League
1967,National League
1968,National League
1969,National League
1970,National League
1971,National League
1972,National League
1973,National League
1974,National League
1975,National League
1976,National League
1977,National League
1978,National League
1979,National League
1980,National League
1981,National League
1982,National League
1983,National League
1984,National League
1985,National League
1986,National League
1987,National League
1988,National League
1989,National League
1990,National League
1991,National League
1992,National League
1993,National League
1994,National League
1995,National League
1996,National League
1997,National League
1998,National League
1999,National League
2000,National League
2001,National League
2002,National League
2003,National League
2004,National League
2005,National League
2006,National League
2007,National League
2008,National League
2009,National League
2010,National League
2011,National League
2012,National League
2013,National League
2014,National League
2015,National League
2016,National League
2017,National League
2018,National League
2019,National League
2020,National League
2021,National League
2022,National League
2023,National League
2024,National League
2025,National League
2026,National League
